"","Species_group","BE_PlotID","PlotID","Species","Abundance"
"106","Bats","HEW42","HEW42","Eptesicus_nilssonii",8
"107","Bats","HEW46","HEW46","Eptesicus_nilssonii",8
"108","Bats","HEW48","HEW48","Eptesicus_nilssonii",28
"109","Bats","HEW6","HEW6","Eptesicus_nilssonii",2
"110","Bats","HEW9","HEW9","Eptesicus_nilssonii",2
"111","Bats","HEW26","HEW26","Barbastella_barbastellus",2
"112","Bats","HEW43","HEW43","Barbastella_barbastellus",2
"113","Bats","HEW12","HEW12","Plecotus",2
"114","Bats","HEW19","HEW19","Plecotus",3
"115","Bats","HEW21","HEW21","Plecotus",3
"116","Bats","HEW26","HEW26","Plecotus",4
"117","Bats","HEW33","HEW33","Plecotus",2
"118","Bats","HEW38","HEW38","Plecotus",10
"119","Bats","HEW39","HEW39","Plecotus",2
"120","Bats","HEW41","HEW41","Plecotus",2
"121","Bats","HEW42","HEW42","Plecotus",2
"122","Bats","HEW47","HEW47","Plecotus",1
"123","Bats","HEW6","HEW6","Plecotus",1
"124","Bats","HEW9","HEW9","Plecotus",3
"125","Bats","HEW1","HEW1","Myotis_nattereri",26
"126","Bats","HEW10","HEW10","Myotis_nattereri",2
"127","Bats","HEW18","HEW18","Myotis_nattereri",2
"128","Bats","HEW22","HEW22","Myotis_nattereri",4
"129","Bats","HEW26","HEW26","Myotis_nattereri",6
"130","Bats","HEW29","HEW29","Myotis_nattereri",2
"131","Bats","HEW3","HEW3","Myotis_nattereri",2
"132","Bats","HEW33","HEW33","Myotis_nattereri",2
"133","Bats","HEW35","HEW35","Myotis_nattereri",2
"134","Bats","HEW37","HEW37","Myotis_nattereri",4
"135","Bats","HEW38","HEW38","Myotis_nattereri",2
"136","Bats","HEW39","HEW39","Myotis_nattereri",2
"137","Bats","HEW40","HEW40","Myotis_nattereri",8
"138","Bats","HEW7","HEW7","Myotis_nattereri",4
"139","Bats","HEW9","HEW9","Myotis_nattereri",2
"140","Bats","HEW10","HEW10","Myotis_myotis",12
"141","Bats","HEW14","HEW14","Myotis_myotis",2
"142","Bats","HEW19","HEW19","Myotis_myotis",2
"143","Bats","HEW24","HEW24","Myotis_myotis",4
"144","Bats","HEW25","HEW25","Myotis_myotis",2
"145","Bats","HEW29","HEW29","Myotis_myotis",2
"146","Bats","HEW32","HEW32","Myotis_myotis",6
"147","Bats","HEW34","HEW34","Myotis_myotis",4
"148","Bats","HEW37","HEW37","Myotis_myotis",20
"149","Bats","HEW39","HEW39","Myotis_myotis",8
"150","Bats","HEW4","HEW4","Myotis_myotis",8
"151","Bats","HEW40","HEW40","Myotis_myotis",8
"152","Bats","HEW41","HEW41","Myotis_myotis",2
"153","Bats","HEW5","HEW5","Myotis_myotis",6
"154","Bats","HEW50","HEW50","Myotis_myotis",2
"155","Bats","HEW7","HEW7","Myotis_myotis",2
"156","Bats","HEW9","HEW9","Myotis_myotis",10
